No. Threads, No. Elements, Time (s)
1, 1000000, 0.25
1, 2000000, 0.52
1, 3000000, 0.86
1, 4000000, 1.08
1, 5000000, 1.42
1, 6000000, 1.79
1, 7000000, 1.99
1, 8000000, 2.33
1, 9000000, 2.65
1, 10000000, 2.94
1, 11000000, 3.29
1, 12000000, 3.72
1, 13000000, 4.07
1, 14000000, 4.06
1, 15000000, 4.35
1, 16000000, 4.72
1, 17000000, 5.05
1, 18000000, 5.45
1, 19000000, 5.88
1, 20000000, 6.21
1, 21000000, 6.55
1, 22000000, 7.10
1, 23000000, 7.21
1, 24000000, 7.57
1, 25000000, 8.12
1, 26000000, 8.37
1, 27000000, 8.06
1, 28000000, 8.35
1, 29000000, 8.64
1, 30000000, 8.95
1, 31000000, 9.23
1, 32000000, 9.58
1, 33000000, 9.97
1, 34000000, 10.33
1, 35000000, 10.82
1, 36000000, 11.73
1, 37000000, 12.18
1, 38000000, 12.10
1, 39000000, 12.68
1, 40000000, 12.59
1, 41000000, 12.49
1, 42000000, 12.83
1, 43000000, 13.24
1, 44000000, 13.71
1, 45000000, 14.07
1, 46000000, 14.86
1, 47000000, 16.38
1, 48000000, 15.96
1, 49000000, 16.11
1, 50000000, 16.45
1, 51000000, 17.11
1, 52000000, 17.34
1, 53000000, 16.78
1, 54000000, 16.64
1, 55000000, 17.92
1, 56000000, 17.22
1, 57000000, 17.73
1, 58000000, 17.39
1, 59000000, 18.80
1, 60000000, 18.91
1, 61000000, 18.90
1, 62000000, 19.23
1, 63000000, 19.54
1, 64000000, 19.51
1, 65000000, 20.54
1, 66000000, 21.32
1, 67000000, 21.45
1, 68000000, 21.15
1, 69000000, 22.95
1, 70000000, 22.66
1, 71000000, 22.38
1, 72000000, 23.35
1, 73000000, 23.35
1, 74000000, 22.90
1, 75000000, 23.46
1, 76000000, 23.90
1, 77000000, 24.65
1, 78000000, 26.40
1, 79000000, 26.11
1, 80000000, 26.26
1, 81000000, 26.85
1, 82000000, 26.87
1, 83000000, 26.85
1, 84000000, 28.57
1, 85000000, 28.07
1, 86000000, 28.69
1, 87000000, 28.46
1, 88000000, 30.04
1, 89000000, 29.50
1, 90000000, 29.86
1, 91000000, 29.91
1, 92000000, 30.99
1, 93000000, 31.73
1, 94000000, 31.59
1, 95000000, 31.31
1, 96000000, 33.43
1, 97000000, 33.16
1, 98000000, 32.99
1, 99000000, 33.48
1, 100000000, 33.80
